model,graph_type,seed,reliability_components,reliability_encoder,best_val_acc,test_acc_at_best_val,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
gate_gt,heterophily,0,local_similarity,separate,0.8833333253860474,0.8682540059089661,-5.0,nan,11.485586881637573,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.09893299640439163,-0.06340702946390722,-0.13804680477732553,-0.10191149240473966,0.1890241498915135,-0.16174921196890013
gate_gt,heterophily,1,local_similarity,separate,0.8833333253860474,0.8841270208358765,-5.0,nan,9.83620810508728,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0475777366196883,0.36409112469380267,-0.022553211132086526,-0.0275575936628941,0.36113419537143426,0.003037352278145871
gate_gt,heterophily,2,local_similarity,separate,0.9055556058883667,0.826984167098999,-5.0,nan,9.072856903076172,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.08436737549960302,0.047113207333804925,-0.09934481929386281,-0.11018986895213038,-0.8088263313630166,0.16983348507087845
gate_gt,heterophily,3,local_similarity,separate,0.8888888955116272,0.8476190567016602,-5.0,nan,8.004282712936401,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.010915626007078627,0.6233680776727978,-0.004485921693362661,-0.02163919158006079,0.61808746371957,0.05202953048323409
gate_gt,heterophily,4,local_similarity,separate,0.9055556058883667,0.8507936596870422,-5.0,nan,15.024096250534058,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025417021581962226,-0.05056535188924064,0.028673556117645577,-0.017167763415429905,-0.05413843429617896,-0.044540306700013604
gate_gt,heterophily,5,local_similarity,separate,0.8055555820465088,0.7968254089355469,-5.0,nan,8.4979088306427,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.07942429499804912,0.012175865469473782,-0.03622603622605401,-0.06797411897866057,-0.2813508988510647,0.09062127271023929
gate_gt,heterophily,6,local_similarity,separate,0.8611111044883728,0.8666666746139526,-5.0,nan,7.368763446807861,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.007689626237117476,0.7008781041479224,-0.03378401495770037,-0.01304304895764583,0.7009603879797596,-0.1106634370064721
gate_gt,heterophily,7,local_similarity,separate,0.8833333253860474,0.8634920716285706,-5.0,nan,11.32961916923523,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.036654268389982474,0.08482888779951686,-0.034428606898070806,0.00690771286947807,-0.06287767905223339,0.10471226264482152
gate_gt,heterophily,8,local_similarity,separate,0.9333333373069763,0.8968254327774048,-5.0,nan,7.3053200244903564,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.05825553030923867,-0.4095085890312363,-0.11461246845064416,-0.01988213873085547,-0.8922139894900868,-0.19439957248022202
gate_gt,heterophily,9,local_similarity,separate,0.8444444537162781,0.8730158805847168,-5.0,nan,9.165710926055908,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.026399535764669274,0.5186436077119574,0.025120683076378263,-0.028782589392409727,0.5201403143818819,0.04915159645301513
reliability_gt,heterophily,0,local_similarity,separate,0.8833333253860474,0.8301587700843811,-5.0,nan,12.672266006469727,0.006745137041434646,0.0066733830608427525,0.006816891022026539,0.00016908859834074974,0.00025682945852167904,0.0002076799573842436,0.0003077189321629703,0.0006286799907684326,0.0008402466773986816,-0.013381409194782853,0.14524075076461973,0.07517424341760477,0.026451177413262302,-0.2660150681165618,0.22248383367562
reliability_gt,heterophily,1,local_similarity,separate,0.8777778148651123,0.865079402923584,-5.0,nan,10.816782236099243,0.006835424806922674,0.0066670579835772514,0.007003791630268097,0.0002830266021192074,0.0003078412264585495,0.00032200367422774434,0.00038996333023533225,0.0008873939514160156,0.0011948943138122559,0.0053084638555936856,0.005922889754534336,0.049138946063338004,0.025693522152642922,0.07805220120195816,-0.002333768686245402
reliability_gt,heterophily,2,local_similarity,separate,0.9111111164093018,0.8539682626724243,-5.0,nan,18.193652868270874,0.0067910070065408945,0.006585954688489437,0.006996059324592352,0.0002401550445938483,0.00039649009704589844,0.0002995614195242524,0.00045151408994570374,0.0008431077003479004,0.0012283921241760254,0.021926719566620994,-0.22870324963624722,0.1007976799107437,0.0756814275172457,-0.9152019028390287,-0.01484778934739884
reliability_gt,heterophily,3,local_similarity,separate,0.8888888955116272,0.8920634984970093,-5.0,nan,23.281018018722534,0.006683628773316741,0.006501737050712109,0.006865520495921373,0.0003089877136517316,0.00037554980372078717,0.00037226214772090316,0.00042830189340747893,0.0012413859367370605,0.001155167818069458,0.007348602207520347,0.20486518906296416,0.04703174721828358,0.0033781393646590842,0.5223172875871311,0.12775943799268424
reliability_gt,heterophily,4,local_similarity,separate,0.894444465637207,0.8777778148651123,-5.0,nan,19.523386478424072,0.006680702092126012,0.006578890141099691,0.006782514043152332,0.0003008521453011781,0.0003771870397031307,0.0003508400695864111,0.0004896210157312453,0.0008957982063293457,0.0015124380588531494,0.008074067231597036,-0.11168474716578343,0.02728476953231564,0.0008908746468921298,-0.19884213331062198,-0.07266750347570754
reliability_gt,heterophily,5,local_similarity,separate,0.8166666626930237,0.865079402923584,-5.0,nan,17.1257643699646,0.0067571899853646755,0.006622836459428072,0.006891543511301279,0.00020971614867448807,0.0002762489311862737,0.0002516251988708973,0.0003459138097241521,0.0006086230278015137,0.0009022653102874756,0.09586492554747085,0.5438635296056646,0.031191421172633068,0.01923649374271344,0.5465443348609672,-0.029036825984234186
reliability_gt,heterophily,6,local_similarity,separate,0.894444465637207,0.8809524178504944,-5.0,nan,27.18689274787903,0.006770374020561576,0.006719882134348154,0.006820865906774998,0.0001927251141751185,0.00029521482065320015,0.00023664970649406314,0.00035840767668560147,0.0007135272026062012,0.0011463165283203125,-0.043926864297775696,-0.4471305302637384,0.005759422322301159,-0.038336967331938344,-0.6609000585304663,-0.16569275796988187
reliability_gt,heterophily,7,local_similarity,separate,0.8611111044883728,0.8714286088943481,-5.0,nan,11.527004957199097,0.006836845772340894,0.0066381944343447685,0.007035497110337019,0.00023185834288597107,0.0003228332207072526,0.00028586163534782827,0.0003967172233387828,0.000820457935333252,0.0009967386722564697,0.0069241685447642976,0.09182160558730526,0.01252424909661411,0.02044285241475738,0.1832657162941726,0.07603521867926699
reliability_gt,heterophily,8,local_similarity,separate,0.9222222566604614,0.8761904835700989,-5.0,nan,15.14609980583191,0.0067055977415293455,0.006732724141329527,0.006678471341729164,0.00016809254884719849,0.0002845632843673229,0.0002054036594927311,0.000330226932419464,0.0006047487258911133,0.0007707476615905762,0.04515067075581679,0.2499581587871748,0.10891612792971246,0.0384545927536995,0.22882266739742607,0.09939997161552176
reliability_gt,heterophily,9,local_similarity,separate,0.8388888835906982,0.8523809909820557,-5.0,nan,11.27858591079712,0.006559476023539901,0.006572911981493235,0.006546040065586567,0.00013178447261452675,0.00017661089077591896,0.00016984998364932835,0.0002108090848196298,0.0004756748676300049,0.00048109889030456543,-0.008986688341638004,0.4176126210793912,0.009266373898561674,-0.003983399090655789,0.6726981722592356,0.10382694989571031
gate_gt,homophily,0,local_similarity,separate,0.9777777791023254,0.9603174924850464,-5.0,nan,8.227235317230225,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.13036699604906743,-0.25420289850212124,0.13833090359884873,-0.00371124983155485,-0.46659277451405967,-0.18748743084491615
gate_gt,homophily,1,local_similarity,separate,0.9555555582046509,0.9746031761169434,-5.0,nan,6.102038145065308,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.05351381757348947,-0.09901278179877172,0.09400559964081885,-0.16306042665505696,-0.0453562827885957,-0.07853025401103343
gate_gt,homophily,2,local_similarity,separate,0.9833333492279053,0.9777777791023254,-5.0,nan,7.294862270355225,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0016920766589893046,-0.18404744856600963,0.12043062120523039,-0.16879760430863786,-0.22707489425133473,-0.18228749952662313
gate_gt,homophily,3,local_similarity,separate,0.9888889193534851,0.9666666984558105,-5.0,nan,5.281191110610962,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009145413379737592,0.21596337255132153,-0.02394365331086125,0.01523799644032277,0.5855333319172312,-0.07843459063132016
gate_gt,homophily,4,local_similarity,separate,0.9722222685813904,0.9555555582046509,-5.0,nan,4.311850070953369,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00046559896650459495,0.2024742057782625,-0.017132359763174326,0.0009097786602447361,0.2762150346709168,0.06961104602496106
gate_gt,homophily,5,local_similarity,separate,0.9611111283302307,0.9650793671607971,-5.0,nan,8.725427865982056,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04117551306565524,0.269932178678917,-0.04418078171638951,0.00768083555459625,0.2699144503716085,-0.04799409181885203
gate_gt,homophily,6,local_similarity,separate,0.9888889193534851,0.9571428894996643,-5.0,nan,4.675103664398193,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0653662450911551,-0.025581247491181798,0.15181641224459366,0.024508134940669276,0.12181511117659918,-0.033629361195347075
gate_gt,homophily,7,local_similarity,separate,0.9944444894790649,0.9746031761169434,-5.0,nan,6.98547101020813,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0842604618339716,-0.21343328163356548,-0.053350237366578984,-0.014136461551777283,-0.224420917276942,-0.06260833977202974
gate_gt,homophily,8,local_similarity,separate,0.9888889193534851,0.9873015880584717,-5.0,nan,6.19208550453186,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004580879855122723,-0.17257152070453283,0.10857672453483648,0.024676838092949342,-0.1695459554135473,-0.06138508898449306
gate_gt,homophily,9,local_similarity,separate,0.9888889193534851,0.9730159044265747,-5.0,nan,6.089879274368286,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02483352983853226,0.20956844235183208,0.03466484192583484,0.06813893959069935,0.31709616244298017,-0.12388121959128408
reliability_gt,homophily,0,local_similarity,separate,0.9888889193534851,0.9571428894996643,-5.0,nan,8.77394151687622,0.0067586880177259445,0.006682213861495256,0.006835162173956633,0.00011980999988736585,0.00020377151668071747,0.00014650486991740763,0.0002432619803585112,0.0003959238529205322,0.0005805492401123047,-0.06988243452701627,-0.11838547481347765,-0.09372662563981908,-0.05887945382064645,-0.05567003514755086,-0.11651838880418684
reliability_gt,homophily,1,local_similarity,separate,0.9666666984558105,0.9761905074119568,-5.0,nan,11.231855869293213,0.006812780164182186,0.006627330556511879,0.006998229771852493,0.0001967447024071589,0.00024068077618721873,0.00022916258603800088,0.0002880143001675606,0.0005591511726379395,0.000883936882019043,-0.052371182526758125,-0.06856748985526871,0.10734132030560083,-0.08497956290161703,0.21335144894307376,-0.07060067668435122
reliability_gt,homophily,2,local_similarity,separate,0.9833333492279053,0.9793651103973389,-5.0,nan,16.432735443115234,0.006680537015199661,0.006582827307283878,0.006778246723115444,0.00014437315985560417,0.00022636170615442097,0.00017410091822966933,0.0002551364596001804,0.000489354133605957,0.000665128231048584,-0.003912629828900591,-0.06794697818014872,-0.030596401699167778,-0.08931040630272553,-0.789223144938813,-0.032018524633044824
reliability_gt,homophily,3,local_similarity,separate,0.9944444894790649,0.9698413014411926,-5.0,nan,8.846779108047485,0.006716954289004207,0.006641468033194542,0.006792440544813871,0.00014384044334292412,0.00017368514090776443,0.00018230205751024187,0.00021299954096321017,0.0005652904510498047,0.0006345510482788086,-0.11674345253989699,0.04741781009332068,-0.10412060131536079,0.01943994786398002,-0.2870807235573598,0.04846305687548974
reliability_gt,homophily,4,local_similarity,separate,0.9777777791023254,0.958730161190033,-5.0,nan,12.280006170272827,0.006676405901089311,0.006651145871728659,0.006701665930449963,0.00017499644309282303,0.00026301387697458267,0.00021344739070627838,0.00033256234019063413,0.0007188320159912109,0.0008786916732788086,-0.07103818898754924,-0.14214100030503532,0.026635645025994678,0.0772786464222674,0.35553504190406454,-0.14356176008269678
reliability_gt,homophily,5,local_similarity,separate,0.9555555582046509,0.9682539701461792,-5.0,nan,10.117645025253296,0.006728669162839651,0.00663809385150671,0.006819244474172592,0.00013939151540398598,0.00018378114327788353,0.0001772399409674108,0.0002378923527430743,0.0005632638931274414,0.0008350014686584473,-0.19243688844861795,-0.1068796534061364,0.035467980024180765,-0.03266409248758699,-0.08244949538140385,-0.08449158689763098
reliability_gt,homophily,6,local_similarity,separate,0.9888889193534851,0.9777777791023254,-5.0,nan,10.493835926055908,0.006743076490238309,0.006663238164037466,0.006822914816439152,0.00013236002996563911,0.0001904107630252838,0.00016065037925727665,0.00022475101286545396,0.0003834366798400879,0.0005761682987213135,-0.10463725613644817,-0.05302258384976866,0.12481433971514563,0.014404865757053421,0.15866173528417105,-0.08075000403285447
reliability_gt,homophily,7,local_similarity,separate,0.9777777791023254,0.9746031761169434,-5.0,nan,11.919431686401367,0.006797016365453601,0.006681312806904316,0.006912719924002886,0.00018304307013750076,0.0002397955540800467,0.00022956865723244846,0.00030157447326928377,0.0006245970726013184,0.0007368624210357666,-0.03217450357899358,-0.24040387066266417,0.004787710564324589,-0.12771685143580638,-0.41181439221401717,-0.061619587593858716
reliability_gt,homophily,8,local_similarity,separate,0.9944444894790649,0.9841269850730896,-5.0,nan,14.31881833076477,0.006851761601865292,0.00665678083896637,0.0070467423647642136,0.0001899278722703457,0.0003154948353767395,0.000230041187023744,0.0003526305372361094,0.0005623698234558105,0.0009589195251464844,-0.1046499216600508,-0.03145464360339288,-0.07557998949631713,-0.13382590128851532,0.3336975131604606,-0.03654648890597857
reliability_gt,homophily,9,local_similarity,separate,0.9777777791023254,0.9698413014411926,-5.0,nan,12.524175882339478,0.0065885300282388926,0.006543674506247044,0.0066333855502307415,0.00011389144492568448,0.00015032058581709862,0.000137376700877212,0.0001766767236404121,0.00032210350036621094,0.00046193599700927734,-0.03918808301870736,0.4199774021024024,-0.022630316376628486,0.05010949332704302,0.5476733537599426,-0.02208338702028967
gate_gt,noisy,0,local_similarity,separate,0.6222222447395325,0.5746031999588013,-5.0,nan,6.841026067733765,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.05362809034501164,-0.23659574361780192,-0.05753256074809683,-0.03958793091744178,-0.2539383264242984,-0.20239288729325353
gate_gt,noisy,1,local_similarity,separate,0.6611111164093018,0.6857143044471741,-5.0,nan,8.279582977294922,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.02441793364385513,0.2260356922923166,-0.06148888386361693,0.004248453187341625,0.31897363878270507,-0.09062841937344306
gate_gt,noisy,2,local_similarity,separate,0.6277778148651123,0.6253968477249146,-5.0,nan,4.631007432937622,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04563935271070798,-0.19052993967649495,-0.02512844968186064,-0.0007981957514243565,0.4711210606605681,-0.23717125605887807
gate_gt,noisy,3,local_similarity,separate,0.699999988079071,0.6333333253860474,-5.0,nan,6.51233434677124,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07961391842693234,-0.3890727901581165,0.048888397211255506,-0.002898840815827358,-0.6174035924613197,0.21708740016407269
gate_gt,noisy,4,local_similarity,separate,0.5555555820465088,0.5,-5.0,nan,3.8014466762542725,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.015986961839852994,-0.0630818971936179,0.006678038063872029,0.015521598867068312,0.26131021178614483,-0.13072419638947552
gate_gt,noisy,5,local_similarity,separate,0.6333333253860474,0.5968254208564758,-5.0,nan,7.515307426452637,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02757353436807915,-0.34066607568781493,0.002873829619421787,0.02111834041379205,-0.574990827063465,-0.14563732330770143
gate_gt,noisy,6,local_similarity,separate,0.7333333492279053,0.6253968477249146,-5.0,nan,6.181986093521118,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07759015298026639,0.41092684424049825,-0.00026989865132230075,0.017155096698714834,0.6758925887177383,0.2562944639803669
gate_gt,noisy,7,local_similarity,separate,0.6222222447395325,0.620634913444519,-5.0,nan,4.900629043579102,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07881417724223316,0.4421145878686146,0.08203537344370519,0.039221857126518725,0.4682435513604906,-0.1693595284804831
gate_gt,noisy,8,local_similarity,separate,0.7055555582046509,0.6873015761375427,-5.0,nan,7.70746374130249,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.040001298853455165,-0.394421299969952,0.042206511508989214,0.08198669744624362,-0.6222506175097512,-0.1648143431283216
gate_gt,noisy,9,local_similarity,separate,0.6222222447395325,0.6158730387687683,-5.0,nan,9.0884370803833,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0031505620501643254,-0.19837009125572538,0.0489529929871569,-0.0017293317159392165,0.07704342893130932,-0.21845363141034735
reliability_gt,noisy,0,local_similarity,separate,0.6166666746139526,0.5952380895614624,-5.0,nan,6.856768846511841,0.0066630670335143805,0.0066595845855772495,0.006666549481451511,0.00019347808847669512,0.00028348807245492935,0.0002339061175007373,0.00032364478101953864,0.0005388259887695312,0.0008466839790344238,-0.011344341268672087,0.2518793983154574,0.04467586801221652,-0.03311482363327846,0.20184812533151053,0.2561112161173544
reliability_gt,noisy,1,local_similarity,separate,0.6777777671813965,0.6761904954910278,-5.0,nan,13.538542032241821,0.006648906739428639,0.006683441810309887,0.006614371668547392,0.00033032477949745953,0.00040890928357839584,0.00041333731496706605,0.00042050977936014533,0.0010399222373962402,0.0010308921337127686,-0.05608560334396145,-0.1596209698115278,0.003783634903937651,-0.027915769184169797,-0.020532161589572225,-0.12622805817165964
reliability_gt,noisy,2,local_similarity,separate,0.6611111164093018,0.6158730387687683,-5.0,nan,9.71005129814148,0.006813019514083862,0.006698146462440491,0.006927892565727234,0.00019567133858799934,0.0003308001905679703,0.00025221059331670403,0.00037314833025448024,0.0008216500282287598,0.0009600818157196045,0.08114477034974754,-0.048877525482240086,0.025832143677027266,0.037898141261987484,0.026349865672805117,-0.053800008903893436
reliability_gt,noisy,3,local_similarity,separate,0.699999988079071,0.6698412895202637,-5.0,nan,13.731250286102295,0.006754063069820404,0.006532740779221058,0.00697538536041975,0.0002539376728236675,0.00034997472539544106,0.00032480902154929936,0.000434626272181049,0.0009954571723937988,0.0013473927974700928,0.0030938014035276984,0.41774162153366057,-0.02177946162308738,0.04901241101692862,0.8179629930685108,0.13068327757802034
reliability_gt,noisy,4,local_similarity,separate,0.5666666626930237,0.5142857432365417,-5.0,nan,6.570321083068848,0.006657745689153671,0.0066782939247787,0.006637197453528643,0.00012496300041675568,0.00016089621931314468,0.00014627315977122635,0.0001949015713762492,0.00035440921783447266,0.0005357861518859863,0.01204575359688395,-0.05880586630868513,0.012061184479221772,0.02152457099469523,-0.3913925998995105,-0.017364547298085894
reliability_gt,noisy,5,local_similarity,separate,0.6277778148651123,0.6047618985176086,-5.0,nan,16.946243286132812,0.006441217847168446,0.00635245768353343,0.006529978010803461,0.00034191831946372986,0.00044440897181630135,0.0004194796783849597,0.00046200951328501105,0.0011139512062072754,0.0011977553367614746,0.017625249771444453,0.18850711852552568,0.002224212307274134,0.03166643285724502,0.37860981462136567,-0.0668517029476247
reliability_gt,noisy,6,local_similarity,separate,0.699999988079071,0.6015872955322266,-5.0,nan,12.527981281280518,0.006584013579413295,0.006414883770048618,0.006753143388777971,0.00024932020460255444,0.0003108992241322994,0.0003015928086824715,0.00035673659294843674,0.0008067488670349121,0.0008899867534637451,0.003380559669733974,0.21103878176301202,-0.03159704650319702,-0.05832083220174307,-0.2536399892277656,0.30215408314154457
reliability_gt,noisy,7,local_similarity,separate,0.6277778148651123,0.6301587224006653,-5.0,nan,16.597071647644043,0.006721351994201541,0.006626975256949663,0.006815728731453419,0.00043926251237280667,0.000509834848344326,0.0005490953917615116,0.0005746990791521966,0.0013358592987060547,0.0015527307987213135,0.07673082195888793,0.0024737398695915173,-0.0436548797453314,0.032183955867142906,0.12794500283115287,-0.060704256341409635
reliability_gt,noisy,8,local_similarity,separate,0.6777777671813965,0.6634920835494995,-5.0,nan,12.329849481582642,0.006838964531198144,0.006648332811892033,0.007029596250504255,0.0004436741874087602,0.0004619895189534873,0.0005100810085423291,0.0005348862032406032,0.001255035400390625,0.0013637840747833252,0.008640935803166314,0.5019771972630185,0.0018083340136966406,-0.05097621180856684,0.5122513210195576,0.35390882256984263
reliability_gt,noisy,9,local_similarity,separate,0.6611111164093018,0.6333333253860474,-5.0,nan,11.370571851730347,0.006425509927794337,0.006416844669729471,0.006434175185859203,0.0001943204551935196,0.00027493154630064964,0.0002382303646299988,0.0003190479474142194,0.0005979537963867188,0.0007233917713165283,-0.07271581003401656,0.015142814985887732,0.009114114960063818,-0.012731437456282578,-0.654369079565453,0.13766523484469192
