dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,backbone_training_mode,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_degree,alpha_corr_neighbor_variance,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,accuracy,10,0.47264412641525266,0.010423257168201926,0.47264412641525266,0.010423257168201926,0.37587339176975343,finetuned,0.4664543479681015,0.006189778447151184,0.8,0.8181456327438354,0.024127806723117828,0.027251682430505752,0.03996884822845459,0.01824539378285408,0.2107779264450073,0.2355608880519867,4.571776676177978,0.5039910227060318,0.26091306284070015,-0.1487272784739259,-0.23281611307523614,0.12994442267228565,-0.5799760920221312,-0.5516708526483853,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,accuracy,10,0.4714845597743988,0.009990090833965458,0.4714845597743988,0.009990090833965458,0.3766094090165401,finetuned,0.4664543479681015,0.005030211806297302,0.8,0.824810528755188,0.031947261467576024,0.03780601546168327,0.04994837641716003,0.02547283060848713,0.29960991740226744,0.2980398178100586,4.927638208866119,0.5275498569011688,0.28067008405923843,-0.036683518576646916,-0.20566577311361708,0.004084543753342583,-0.21028067444951498,nan,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,feature_only,accuracy,10,0.4725461333990097,0.010415626839913733,0.4725461333990097,0.010415626839913733,0.3752156156140364,finetuned,0.4664543479681015,0.006091785430908203,0.8,0.8179932355880737,0.025976059213280677,0.028971557319164277,0.03996469378471375,0.017868922650814058,0.21129090785980226,0.22436763048171998,4.424347591400147,0.5332711666822434,0.24642674177885054,-0.022180584539885227,-0.22597326203582332,-0.04014948261384629,-0.21079719854990844,nan,260997.0,156544.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,accuracy,10,0.47032500207424166,0.008899228736710436,0.47032500207424166,0.008899228736710436,0.3700749795982195,fixed_finetuned,0.4664543479681015,0.003870654106140137,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,accuracy,10,0.47272578477859495,0.012846697045884932,0.47272578477859495,0.012846697045884932,0.37677441863952676,finetuned,0.4664543479681015,0.006271436810493469,0.8,0.82376149892807,0.029232930019497873,0.034046927094459535,0.04995875358581543,0.022895340994000434,0.2642118245363235,0.29212061166763303,4.732828378677368,0.5097611248493195,0.27537145614624026,-0.16174126889357124,-0.1637959213029588,0.12612940334117814,-0.5904272560200186,-0.5436144000165936,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,accuracy,10,0.4732974052429199,0.010474059279671882,0.4732974052429199,0.010474059279671882,0.37853320185342454,finetuned,0.4664543479681015,0.00684305727481842,0.8,0.8294377624988556,0.03605341054499149,0.04244183897972107,0.059940701723098753,0.02727510929107666,0.3174789011478424,0.3451327860355377,5.335775673389435,0.5314953833818435,0.3046757236123085,0.025637403295866418,-0.14832885636975662,-0.04224214905936529,-0.11614970551624232,-0.01951868717897119,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,accuracy,10,0.46560509204864503,0.008306948983128372,0.46560509204864503,0.008306948983128372,0.35921265434593974,frozen,0.4664543479681015,-0.0008492559194564819,0.8,0.7982320070266724,0.00594050632789731,0.004368023679126054,0.016944795846939087,0.004581288644112646,0.06178483162075281,29752833.324792143,3.2063779473304748,0.4912877529859543,0.16866372227668763,-0.26872204077622247,-0.10532612656507268,0.21799842178267373,-0.17894451183601992,-0.20883792740245044,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,accuracy,10,0.4664053529500961,0.00828326509621685,0.4664053529500961,0.00828326509621685,0.36142521098558,frozen,0.4664543479681015,-4.8995018005371094e-05,0.8,0.7998181641101837,0.004120499547570944,0.0036867819260805847,0.008173251152038574,0.004810857120901346,0.05816201344132423,0.033320043608546256,2.7059510350227356,0.4917485147714615,0.1418248802423477,-0.11914308353568125,-0.13038371705063692,0.07095322988015669,-0.1616448241613067,nan,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,feature_only,accuracy,10,0.46598072350025177,0.008123620642758952,0.46598072350025177,0.008123620642758952,0.3609315536556215,frozen,0.4664543479681015,-0.00047362446784973147,0.8,0.797415429353714,0.006806332129053771,0.004896707227453589,0.018496745824813844,0.0049165870412252845,0.06593930050730705,24321734.356419697,2.8714675664901734,0.4954230308532715,0.1624766543507576,-0.11379188775077703,-0.16072128741578495,0.07434562300781392,-0.1798963032758297,nan,166144.0,156544.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,accuracy,10,0.4664543479681015,0.00829634429947219,0.4664543479681015,0.00829634429947219,0.36090331531306136,fixed_frozen,0.4664543479681015,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen,reliability_only,accuracy,10,0.46571941673755646,0.008262763019166423,0.46571941673755646,0.008262763019166423,0.3626812569396692,frozen,0.4664543479681015,-0.000734931230545044,0.8,0.7979244649410248,0.007805783208459616,0.005726312240585685,0.018675333261489867,0.006565001513808966,0.08499626442790031,25320328.03657531,2.946083688735962,0.494853013753891,0.1624948114156723,-0.19721555026363258,-0.13249165593464474,0.1437276026752863,-0.2063292593726407,-0.2339296695917873,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,shuffled_reliability,accuracy,10,0.46666666567325593,0.008574523542591594,0.46666666567325593,0.008574523542591594,0.3628458026398347,frozen,0.4664543479681015,0.00021231770515441894,0.8,0.7998573780059814,0.003983863163739443,0.003547713626176119,0.00783447027206421,0.0044962328393012285,0.053504613041877744,0.03314541429281235,2.6628170132637026,0.49350049495697024,0.14425770789384842,-0.11651481716917456,-0.1372676042381623,0.06966738184964284,-0.15853648340422458,0.009295047538424512,166144.0,157568.0,0.0
Roman-empire,iterative_relation_finetune,combined,accuracy,10,0.8435933351516723,0.004885841107832863,0.8435933351516723,0.004885841107832863,0.7993923730105791,finetuned,0.8169255018234253,0.02666783332824707,0.775,0.8004096508026123,0.04622769802808761,0.047407731786370276,0.09929604530334472,0.07609851025044918,0.9041304171085358,165696.87273587583,7.037372779846192,0.5052131384611129,0.43821386992931366,0.22213762483076752,0.28903705630412185,0.18122136805992592,0.059358044665275396,0.24471462619812845,261842.0,166144.0,95698.0
Roman-empire,iterative_relation_finetune,constant_reliability,accuracy,10,0.824761712551117,0.007593421470097719,0.824761712551117,0.007593421470097719,0.7755321315464941,finetuned,0.8169255018234253,0.00783621072769165,0.775,0.8079482197761536,0.04514172822237015,0.05159462867304683,0.08927376866340637,0.0679013893008232,0.8310620248317718,148059.86114572882,6.559633064270019,0.5056909054517746,0.3900615513324738,-0.061862191832947375,0.029445451972845375,0.018988264183291522,0.007339725997568367,nan,261842.0,157568.0,95698.0
Roman-empire,iterative_relation_finetune,feature_only,accuracy,10,0.8256794691085816,0.007850210286199935,0.8256794691085816,0.007850210286199935,0.7769220388216871,finetuned,0.8169255018234253,0.00875396728515625,0.775,0.8055117428302765,0.04663912504911423,0.05185888633131981,0.08953885436058044,0.07643558867275715,0.9221392750740052,47201.99048504829,6.598723244667053,0.5193783432245255,0.39211206138134,-0.06133124605876178,0.03957532503201645,0.0817086797577827,0.12952873641354912,nan,261842.0,156544.0,95698.0
Roman-empire,iterative_relation_finetune,fixed,accuracy,10,0.8209318518638611,0.008791046967299928,0.8209318518638611,0.008791046967299928,0.7697595115683146,fixed_finetuned,0.8169255018234253,0.004006350040435791,0.775,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,95698.0,0.0,95698.0
Roman-empire,iterative_relation_finetune,reliability_only,accuracy,10,0.8442287087440491,0.005003273549166069,0.8442287087440491,0.005003273549166069,0.800901593559426,finetuned,0.8169255018234253,0.02730320692062378,0.775,0.7978290379047394,0.04768399596214294,0.04737724456936121,0.09967625737190247,0.0808768030256033,0.9504202544689179,56652.822331595424,6.713059663772583,0.524265256524086,0.43134194016456606,0.2966375740746256,0.2981223058346051,0.09166494251107822,0.0015348179262903757,0.21278411679381692,261842.0,157568.0,95698.0
Roman-empire,iterative_relation_finetune,shuffled_reliability,accuracy,10,0.8236321687698365,0.007197757306648569,0.8236321687698365,0.007197757306648569,0.7729261760338302,finetuned,0.8169255018234253,0.006706666946411133,0.775,0.8048690617084503,0.04566841796040535,0.05126179801300168,0.08947023153305053,0.07867571115493774,0.9219870030879974,41285.97098765373,6.455027055740357,0.5072600364685058,0.3912313163280487,-0.07470951576470357,0.01383701367337812,0.02314639269455074,0.04456913649789974,-0.1029661770480331,261842.0,157568.0,95698.0
Roman-empire,iterative_relation_frozen,combined,accuracy,10,0.8306918203830719,0.00617116832295897,0.8306918203830719,0.00617116832295897,0.7829496778418144,frozen,0.8169255018234253,0.013766318559646606,0.775,0.7827614963054657,0.05799242854118347,0.05234036594629288,0.09991583824157715,0.06922922544181347,0.8405153602361679,816619.5760684907,6.4069517135620115,0.46768671870231626,0.4139684855937958,0.029304994781485672,0.28859633731844825,0.2535247592193692,0.07834631405091286,0.21201678358993167,166144.0,166144.0,0.0
Roman-empire,iterative_relation_frozen,constant_reliability,accuracy,10,0.8231203496456146,0.006359474806609041,0.8231203496456146,0.006359474806609041,0.7737354773976015,frozen,0.8169255018234253,0.006194847822189331,0.775,0.7948098599910736,0.05413992705289274,0.05074916461016983,0.08139240741729736,0.06785789590066997,0.8054550745058805,370.82780851125716,4.7099077820777895,0.42231670320034026,0.2912002824246883,0.05025244622511411,-0.11272036188507659,-0.08702913582262746,-0.03471787598782813,nan,166144.0,157568.0,0.0
Roman-empire,iterative_relation_frozen,feature_only,accuracy,10,0.818813955783844,0.0054616586630966526,0.818813955783844,0.0054616586630966526,0.769149081359098,frozen,0.8169255018234253,0.0018884539604187012,0.775,0.7896604478359223,0.038743050425546245,0.036235608204151504,0.07165108919143677,0.046698981651570645,0.5571167884161696,242695.183289247,4.550308346748352,0.43985078036785125,0.2920338325202465,0.026478140075388037,-0.013790940241529352,-0.02978098281268387,0.013646342852643933,nan,166144.0,156544.0,0.0
Roman-empire,iterative_relation_frozen,fixed,accuracy,10,0.8169255018234253,0.005554888980274573,0.8169255018234253,0.005554888980274573,0.7636902008251419,fixed_frozen,0.8169255018234253,0.0,0.775,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen,reliability_only,accuracy,10,0.8328803181648254,0.006669159695719306,0.8328803181648254,0.006669159695719306,0.7844160006774941,frozen,0.8169255018234253,0.015954816341400148,0.775,0.7822447657585144,0.06030046306550503,0.05341687425971031,0.09997634887695313,0.07000167346559465,0.8412792958319187,525195.5811276615,6.3970458030700685,0.48324284255504607,0.4214540719985962,0.03747402598143846,0.23014259151911565,0.13717582247085466,0.01430381494721162,0.12690927129937757,166144.0,157568.0,0.0
Roman-empire,iterative_relation_frozen,shuffled_reliability,accuracy,10,0.8189021944999695,0.005623095251057968,0.8189021944999695,0.005623095251057968,0.7678979114097644,frozen,0.8169255018234253,0.0019766926765441895,0.775,0.7877855598926544,0.02889396434184164,0.027148855663836003,0.05723094344139099,0.03789195814315462,0.4487134238705039,958.5379895940423,4.339837074279785,0.4506382346153259,0.273502791672945,-0.0076717614973156115,0.10151375858201578,0.11035468836445464,0.057861209885673254,-0.03464216383487678,166144.0,157568.0,0.0
